PART,MANUFACTURER,DESCRIPTION,CLASS,SYSTEM,COMPONENT,ASSEMBLY,ACTIVE,COMPLETE VMRS,COMPLETE CLASS,word_count,usable
15400-PLM-A02,HONDA MTR AMERICA,"FILTER, OIL, ENGINE",FILTERS,F25,0,,Y,NO,YES,3,True
15601-76004-71,TOYOTA,"FILTER, OIL, ENGINE",FILTERS,266,2,0,Y,YES,YES,3,True
15601-76008-71,TOYOTA,"FILTER, OIL, ENGINE",FILTERS,266,2,0,Y,YES,YES,3,True
15613-EV140,HINO MOTORS LTD.,"FILTER, CRANKCASE, VENTILATION",FILTERS,45,14,7,Y,YES,YES,3,True
15942429,GENERAL MOTORS CORP,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
15950,NAPA,"FILTER, OIL, TRANSMISSION",FILTERS,27,36,4,Y,YES,YES,3,True
15966,NAPA,"FILTER, OIL, TRANSMISSION",FILTERS,27,36,4,Y,YES,YES,3,True
15P,PARKER-HANNIFIN,"FILTER, ASSY, HIGH PRESSURE",FILTERS,361,9,0,Y,YES,YES,4,True
1655115PE,"PACCAR, INC.","FILTER, FUEL, PRIMARY",FILTERS,44,2,1,Y,YES,YES,3,True
1707194,HYSTER CO.,"FILTER, OIL, HYDRAULIC",FILTERS,266,2,0,Y,YES,YES,3,True
1718534PE,"PACCAR, INC.","FILTER, OIL, ENGINE, KIT",FILTERS,45,11,43,Y,YES,YES,4,True
1756,NAPA,"FILTER, OIL, HYDRAULIC",FILTERS,65,6,18,Y,YES,YES,3,True
17587,NAPA,"FILTER, OIL, TRANSMISSION",FILTERS,27,36,4,Y,YES,YES,3,True
1780178100,HINO,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
1817849C3,NAVISTAR,"GASKET, HOUSING, FILTER, OIL",FILTERS,45,11,22,Y,YES,YES,4,True
18566,NAPA,"FILTER, OIL, TRANSMISSION",FILTERS,27,36,4,Y,YES,YES,3,True
19259309,GENERAL MOTORS CORP,"FILTER, FUEL, PRIMARY",FILTERS,44,2,1,Y,YES,YES,3,True
19433934,GENERAL MOTORS CORP,"FILTER, OIL, ENGINE",FILTERS,45,11,1,Y,YES,YES,3,True
1R-0716,CATERPILLAR TRACTOR,"FILTER, OIL, ENGINE",FILTERS,45,11,1,Y,YES,YES,3,True
1R-0749,CATERPILLAR TRACTOR,"FILTER, FUEL, SECONDARY",FILTERS,44,2,3,Y,YES,YES,3,True
1R-0750,CATERPILLAR TRACTOR,"FILTER, FUEL, SECONDARY",FILTERS,44,2,3,Y,YES,YES,3,True
1R-1808,CATERPILLAR TRACTOR,"FILTER, OIL, ENGINE",FILTERS,45,11,1,Y,YES,YES,3,True
200095,NAPA,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
200337,NAPA,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
200697,NAPA,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
20580233,VOLVO,"FILTER, OIL, POWER STEERING",FILTERS,15,5,46,Y,YES,YES,4,True
21715813,VOLVO,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
22759203,GENERAL MOTORS CORP,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
2277129PE,"PACCAR, INC.","FILTER, FUEL, PRIMARY",FILTERS,44,2,2,Y,YES,YES,3,True
22845992,GENERAL MOTORS CORP,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
22909882,GENERAL MOTORS CORP,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
2299013PE,"PACCAR, INC.","FILTER, VENTILATION, CRANKCASE",FILTERS,45,14,7,Y,YES,YES,3,True
23044511,VOLVO,"FILTER, FUEL, PRIMARY",FILTERS,44,2,1,Y,YES,YES,3,True
23300-UB010,TOYOTA,"FILTER, FUEL, PRIMARY",FILTERS,266,2,0,Y,YES,YES,3,True
2330478380,HINO,"FILTER, FUEL, PRIMARY",FILTERS,44,2,2,Y,YES,YES,3,True
